"okresVysledkyId","okresId","stranaId","hlasy","hlasyPct"
807,21,28,1255,10.08
808,21,29,6,0.05
809,21,30,3006,24.13
810,21,31,73,0.59
811,21,32,4,0.03
812,21,33,6,0.05
813,21,34,155,1.24
814,21,35,20,0.16
815,21,36,26,0.21
816,21,37,33,0.26
817,21,38,3,0.02
818,21,39,651,5.23
819,21,40,49,0.39
820,22,1,27,0.14
821,22,2,76,0.38
822,22,3,48,0.24
823,22,4,44,0.22
824,22,5,3015,15.09
825,22,6,375,1.88
826,22,7,852,4.26
827,22,8,10,0.05
828,22,9,1520,7.61
829,22,10,43,0.22
830,22,11,32,0.16
831,22,12,188,0.94
832,22,13,45,0.23
833,22,14,16,0.08
834,22,15,28,0.14
835,22,16,117,0.59
836,22,17,15,0.08
837,22,18,8,0.04
838,22,19,109,0.55
839,22,21,7,0.04
840,22,22,13,0.07
841,22,23,19,0.10
842,22,24,410,2.05
843,22,25,67,0.34
844,22,26,2030,10.16
845,22,27,2399,12.00
846,22,28,1957,9.79
847,22,29,18,0.09
848,22,30,4881,24.42
849,22,31,86,0.43
850,22,32,4,0.02
851,22,33,6,0.03
852,22,34,127,0.64
853,22,35,13,0.07
854,22,36,41,0.21
855,22,37,84,0.42
856,22,38,3,0.02
857,22,39,1158,5.79
858,22,40,94,0.47
859,23,1,64,0.15
860,23,2,160,0.36
861,23,3,130,0.29
862,23,4,22,0.05
863,23,5,7473,16.95
864,23,6,588,1.33
865,23,7,1652,3.75
866,23,8,21,0.05
867,23,9,2718,6.16
868,23,10,86,0.20
869,23,11,56,0.13
870,23,12,368,0.83
871,23,13,74,0.17
872,23,14,25,0.06
873,23,15,44,0.10
874,23,16,324,0.73
875,23,17,15,0.03
876,23,18,16,0.04
877,23,19,573,1.30
878,23,21,8,0.02
879,23,22,39,0.09
880,23,23,21,0.05
881,23,24,1146,2.60
882,23,25,303,0.69
883,23,26,5626,12.76
884,23,27,6044,13.71
885,23,28,4194,9.51
886,23,29,31,0.07
887,23,30,9221,20.91
888,23,31,227,0.51
889,23,32,6,0.01
890,23,33,14,0.03
891,23,34,224,0.51
892,23,35,63,0.14
893,23,36,121,0.27
894,23,37,187,0.42
895,23,38,3,0.01
896,23,39,2003,4.54
897,23,40,205,0.46
898,24,1,28,0.21
899,24,2,67,0.50
900,24,3,33,0.25
901,24,4,18,0.14
902,24,5,1800,13.54
903,24,6,287,2.16
904,24,7,617,4.64
905,24,8,11,0.08
906,24,9,1276,9.60
907,24,10,37,0.28
908,24,11,45,0.34
909,24,12,177,1.33
910,24,13,44,0.33
911,24,14,12,0.09
912,24,15,18,0.14
913,24,16,99,0.74
914,24,17,5,0.04
915,24,18,5,0.04
916,24,19,118,0.89
917,24,21,6,0.05
918,24,22,7,0.05
919,24,23,8,0.06
920,24,24,291,2.19
921,24,25,90,0.68
922,24,26,1439,10.82
923,24,27,1547,11.63
924,24,28,1229,9.24
925,24,29,15,0.11
926,24,30,3178,23.90
927,24,31,84,0.63
928,24,32,4,0.03
929,24,33,5,0.04
930,24,34,112,0.84
931,24,35,24,0.18
932,24,36,25,0.19
933,24,37,34,0.26
934,24,38,0,0.00
935,24,39,446,3.35
936,24,40,57,0.43
937,25,1,26,0.16
938,25,2,82,0.49
939,25,3,54,0.32
940,25,4,7,0.04
941,25,5,2851,17.00
942,25,6,320,1.91
943,25,7,637,3.80
944,25,8,7,0.04
945,25,9,1440,8.59
946,25,10,41,0.24
947,25,11,42,0.25
948,25,12,189,1.13
949,25,13,33,0.20
950,25,14,15,0.09
951,25,15,34,0.20
952,25,16,112,0.67
953,25,17,8,0.05
954,25,18,2,0.01
955,25,19,170,1.01
956,25,21,3,0.02
957,25,22,16,0.10
958,25,23,9,0.05
959,25,24,321,1.91
960,25,25,75,0.45
961,25,26,1779,10.61
962,25,27,2050,12.23
963,25,28,1626,9.70
964,25,29,19,0.11
965,25,30,3708,22.11
966,25,31,157,0.94
967,25,32,3,0.02
968,25,33,9,0.05
969,25,34,135,0.81
970,25,35,35,0.21
971,25,36,47,0.28
972,25,37,59,0.35
973,25,38,1,0.01
974,25,39,570,3.40
975,25,40,76,0.45
976,26,1,15,0.15
977,26,2,34,0.33
978,26,3,35,0.34
979,26,4,11,0.11
980,26,5,1747,16.96
981,26,6,217,2.11
982,26,7,416,4.04
983,26,8,6,0.06
984,26,9,1081,10.49
985,26,10,19,0.18
986,26,11,17,0.17
987,26,12,107,1.04
988,26,13,23,0.22
989,26,14,10,0.10
990,26,15,14,0.14
991,26,16,75,0.73
992,26,17,4,0.04
993,26,18,6,0.06
994,26,19,75,0.73
995,26,21,3,0.03
996,26,22,13,0.13
997,26,23,15,0.15
998,26,24,212,2.06
999,26,25,57,0.55
1000,26,26,1029,9.99
1001,26,27,1208,11.72
1002,26,28,926,8.99
1003,26,29,7,0.07
1004,26,30,2391,23.21
1005,26,31,48,0.47
1006,26,32,2,0.02
1007,26,33,7,0.07
1008,26,34,87,0.84
1009,26,35,20,0.19
1010,26,36,27,0.26
1011,26,37,39,0.38
1012,26,38,0,0.00
1013,26,39,240,2.33
1014,26,40,60,0.58
1015,27,1,8,0.09
1016,27,2,20,0.23
1017,27,3,28,0.32
1018,27,4,4,0.05
1019,27,5,925,10.45
1020,27,6,205,2.32
1021,27,7,418,4.72
1022,27,8,6,0.07
1023,27,9,1044,11.80
1024,27,10,24,0.27
1025,27,11,27,0.31
1026,27,12,103,1.16
1027,27,13,20,0.23
1028,27,14,8,0.09
1029,27,15,12,0.14
1030,27,16,57,0.64
1031,27,17,7,0.08
1032,27,18,3,0.03
1033,27,19,57,0.64
1034,27,21,1,0.01
1035,27,22,5,0.06
1036,27,23,5,0.06
1037,27,24,192,2.17
1038,27,25,24,0.27
1039,27,26,742,8.38
1040,27,27,1095,12.37
1041,27,28,880,9.94
1042,27,29,5,0.06
1043,27,30,2514,28.41
1044,27,31,27,0.31
1045,27,32,5,0.06
1046,27,33,3,0.03
1047,27,34,40,0.45
1048,27,35,21,0.24
1049,27,36,26,0.29
1050,27,37,24,0.27
1051,27,38,1,0.01
1052,27,39,224,2.53
1053,27,40,40,0.45
1054,28,1,23,0.14
1055,28,2,59,0.36
1056,28,3,56,0.34
1057,28,4,8,0.05
1058,28,5,1718,10.54
1059,28,6,308,1.89
1060,28,7,692,4.25
1061,28,8,16,0.10
1062,28,9,1338,8.21
1063,28,10,41,0.25
1064,28,11,43,0.26
1065,28,12,163,1.00
1066,28,13,32,0.20
1067,28,14,11,0.07
1068,28,15,30,0.18
1069,28,16,151,0.93
1070,28,17,8,0.05
1071,28,18,3,0.02
1072,28,19,210,1.29
1073,28,21,5,0.03
1074,28,22,17,0.10
1075,28,23,6,0.04
1076,28,24,339,2.08
1077,28,25,44,0.27
1078,28,26,1461,8.96
1079,28,27,2177,13.36
1080,28,28,1993,12.23
1081,28,29,15,0.09
1082,28,30,4422,27.13
1083,28,31,39,0.24
1084,28,32,4,0.02
1085,28,33,6,0.04
1086,28,34,152,0.93
1087,28,35,35,0.21
1088,28,36,29,0.18
1089,28,37,61,0.37
1090,28,38,2,0.01
1091,28,39,508,3.12
1092,28,40,75,0.46
1093,29,1,30,0.13
1094,29,2,85,0.37
1095,29,3,92,0.40
1096,29,4,23,0.10
1097,29,5,3036,13.09
1098,29,6,507,2.19
1099,29,7,903,3.89
