"obecVysledkyId","obecId","nuts5","stranaId","hlasy","hlasyPct"
504,15,"538205",36,3,0.28
505,15,"538205",37,12,1.13
506,15,"538205",39,50,4.72
507,15,"538205",40,1,0.09
508,16,"538213",2,11,0.28
509,16,"538213",3,15,0.39
510,16,"538213",4,1,0.03
511,16,"538213",5,731,18.87
512,16,"538213",6,34,0.88
513,16,"538213",7,103,2.66
514,16,"538213",9,264,6.82
515,16,"538213",10,2,0.05
516,16,"538213",11,3,0.08
517,16,"538213",12,32,0.83
518,16,"538213",13,5,0.13
519,16,"538213",14,2,0.05
520,16,"538213",15,2,0.05
521,16,"538213",16,19,0.49
522,16,"538213",17,1,0.03
523,16,"538213",18,2,0.05
524,16,"538213",19,7,0.18
525,16,"538213",21,1,0.03
526,16,"538213",23,1,0.03
527,16,"538213",24,136,3.51
528,16,"538213",25,26,0.67
529,16,"538213",26,626,16.16
530,16,"538213",27,693,17.89
531,16,"538213",28,232,5.99
532,16,"538213",29,1,0.03
533,16,"538213",30,585,15.10
534,16,"538213",31,2,0.05
535,16,"538213",32,3,0.08
536,16,"538213",34,24,0.62
537,16,"538213",35,1,0.03
538,16,"538213",36,7,0.18
539,16,"538213",37,36,0.93
540,16,"538213",38,5,0.13
541,16,"538213",39,243,6.27
542,16,"538213",40,17,0.44
543,17,"538302",1,2,0.18
544,17,"538302",2,4,0.37
545,17,"538302",3,4,0.37
546,17,"538302",4,5,0.46
547,17,"538302",5,276,25.21
548,17,"538302",6,12,1.10
549,17,"538302",7,23,2.10
550,17,"538302",9,19,1.74
551,17,"538302",10,2,0.18
552,17,"538302",12,5,0.46
553,17,"538302",13,2,0.18
554,17,"538302",15,1,0.09
555,17,"538302",16,7,0.64
556,17,"538302",21,1,0.09
557,17,"538302",22,1,0.09
558,17,"538302",24,62,5.66
559,17,"538302",25,11,1.00
560,17,"538302",26,249,22.74
561,17,"538302",27,178,16.26
562,17,"538302",28,48,4.38
563,17,"538302",30,119,10.87
564,17,"538302",31,1,0.09
565,17,"538302",32,1,0.09
566,17,"538302",34,3,0.27
567,17,"538302",37,9,0.82
568,17,"538302",38,1,0.09
569,17,"538302",39,47,4.29
570,17,"538302",40,2,0.18
571,18,"538353",2,2,0.46
572,18,"538353",3,1,0.23
573,18,"538353",5,113,26.22
574,18,"538353",7,6,1.39
575,18,"538353",9,12,2.78
576,18,"538353",10,2,0.46
577,18,"538353",13,1,0.23
578,18,"538353",16,3,0.70
579,18,"538353",19,1,0.23
580,18,"538353",22,1,0.23
581,18,"538353",24,20,4.64
582,18,"538353",25,1,0.23
583,18,"538353",26,91,21.11
584,18,"538353",27,65,15.08
585,18,"538353",28,21,4.87
586,18,"538353",30,66,15.31
587,18,"538353",31,2,0.46
588,18,"538353",34,2,0.46
589,18,"538353",36,1,0.23
590,18,"538353",37,5,1.16
591,18,"538353",39,14,3.25
592,18,"538353",40,1,0.23
593,19,"538361",1,3,0.24
594,19,"538361",2,7,0.56
595,19,"538361",3,5,0.40
596,19,"538361",5,252,20.18
597,19,"538361",6,14,1.12
598,19,"538361",7,35,2.80
599,19,"538361",9,23,1.84
600,19,"538361",11,1,0.08
601,19,"538361",12,5,0.40
602,19,"538361",13,2,0.16
603,19,"538361",14,1,0.08
604,19,"538361",15,3,0.24
605,19,"538361",16,7,0.56
606,19,"538361",18,4,0.32
607,19,"538361",19,4,0.32
